29/11/2009,,,,,,,,,,
,,,,,,,,,,
,Ticker,,ValComp,MomComp,RevComp,RiskComp,QualComp,GrowthComp,Price,Sector
CAPITAL ONE FINA,COF,,69%,79%,,68%,12%,55%,37.22,Financials
AIR PRODS & CHEM,APD,,77%,76%,66%,58%,38%,47%,81.03,Materials
SCHWAB (CHARLES),SCHW,,92%,21%,6%,4%,69%,85%,17.71,Financials
HESS CORP,HES,,42%,10%,82%,86%,64%,4%,56.9,Energy
BB&T CORP,BBT,,42%,18%,3%,2%,16%,26%,24.42,Financials
STAPLES INC,SPLS,,41%,69%,30%,25%,36%,85%,22.68,Consumer Discretionary
MCKESSON CORP,MCK,,13%,94%,70%,56%,59%,83%,62.34,Health Care
KOHLS CORP,KSS,,34%,55%,80%,71%,86%,82%,53.96,Consumer Discretionary
FRANKLIN RES INC,BEN,,74%,91%,94%,72%,82%,45%,109.74,Financials
YUM! BRANDS INC,YUM,,66%,36%,33%,45%,22%,65%,34.94,Consumer Discretionary
APPLIED MATERIAL,AMAT,,88%,21%,87%,74%,37%,43%,12.09,Information Technology
TJX COS INC,TJX,,29%,78%,83%,67%,64%,74%,38.15,Consumer Discretionary
WASTE MANAGEMENT,WM,,45%,67%,24%,34%,66%,54%,32.75,Industrials
AMERICAN TOWER-A,AMT,,99%,85%,33%,34%,8%,97%,40.05,Telecommunication Services
SYSCO CORP,SYY,,31%,43%,42%,53%,95%,55%,26.66,Consumer Staples
STARBUCKS CORP,SBUX,,73%,96%,84%,71%,50%,92%,21.05,Consumer Discretionary
PUB SERV ENTERP,PEG,,25%,14%,38%,26%,54%,10%,30.81,Utilities
PG&E CORP,PCG,,37%,49%,15%,35%,49%,25%,42.06,Utilities
ALLSTATE CORP,ALL,,1%,25%,58%,61%,47%,19%,28.2,Financials
CHESAPEAKE ENERG,CHK,,36%,19%,68%,77%,33%,20%,23.58,Energy
ENTERGY CORP,ETR,,39%,18%,12%,31%,55%,20%,78.37,Utilities
TIME WARNER,TWC,,12%,90%,39%,54%,2%,37%,41.87,Consumer Discretionary
AMERICAN ELECTRI,AEP,,36%,36%,47%,60%,12%,11%,31.57,Utilities
SOUTHWESTRN ENGY,SWN,,98%,20%,37%,14%,55%,100%,43,Energy
AVON PRODUCTS,AVP,,84%,81%,65%,57%,88%,22%,34.33,Consumer Staples
KROGER CO,KR,,16%,8%,9%,15%,74%,48%,22.74,Consumer Staples
PRECISION CASTPT,PCP,,56%,89%,7%,5%,46%,85%,103.98,Industrials
BEST BUY CO INC,BBY,,28%,75%,61%,49%,58%,77%,42.43,Consumer Discretionary
SYMANTEC CORP,SYMC,,27%,58%,52%,29%,43%,37%,17.6,Information Technology
CARNIVAL CORP,CCL,,61%,58%,72%,81%,50%,79%,31.52,Consumer Discretionary
STRYKER CORP,SYK,,58%,90%,41%,10%,85%,72%,49.11,Health Care
PACCAR INC,PCAR,,97%,56%,11%,26%,78%,61%,36.96,Industrials
GENZYME CORP,GENZ,,68%,2%,4%,4%,47%,98%,50.58,Health Care
KELLOGG CO,K,,71%,77%,32%,39%,57%,46%,52.94,Consumer Staples
BIOGEN IDEC INC,BIIB,,28%,6%,32%,25%,42%,30%,46.44,Health Care
JUNIPER NETWORKS,JNPR,,94%,28%,79%,48%,37%,94%,25.27,Information Technology
HJ HEINZ CO,HNZ,,52%,54%,58%,64%,84%,28%,42.21,Consumer Staples
NUCOR CORP,NUE,,67%,9%,34%,27%,82%,17%,41.13,Materials
LORILLARD INC,LO,,49%,52%,14%,7%,100%,21%,78.35,Consumer Staples
WESTERN UNION,WU,,53%,28%,41%,21%,97%,75%,18.34,Information Technology
SEMPRA ENERGY,SRE,,51%,59%,17%,60%,67%,23%,52.61,Utilities
COGNIZANT TECH-A,CTSH,,96%,95%,78%,44%,61%,94%,43.5,Information Technology
LOEWS CORP,L,,2%,79%,77%,83%,71%,17%,34.91,Financials
BOSTON SCIENTIFC,BSX,,44%,5%,7%,16%,19%,89%,8.31,Health Care
FIRSTENERGY CORP,FE,,33%,17%,20%,32%,50%,17%,42.2,Utilities
AETNA INC,AET,,3%,21%,14%,6%,90%,72%,28.83,Health Care
ST JUDE MEDICAL,STJ,,65%,11%,6%,11%,77%,81%,36.04,Health Care
BAKER HUGHES INC,BHI,,47%,16%,27%,6%,66%,35%,40.05,Energy
BROADCOM CORP-A,BRCM,,95%,44%,89%,59%,59%,95%,28.52,Information Technology
ALCOA INC,AA,,95%,58%,82%,99%,10%,40%,12.5,Materials
ZIMMER HLDGS,ZMH,,53%,93%,49%,20%,81%,43%,57.79,Health Care
SPECTRA ENERG,SE,,71%,54%,30%,75%,33%,28%,19.23,Energy
T ROWE PRICE GRP,TROW,,96%,38%,83%,62%,87%,61%,47.64,Financials
PEABODY ENERGY,BTU,,65%,75%,91%,85%,82%,61%,43.36,Energy
MARSH & MCLENNAN,MMC,,30%,28%,87%,81%,24%,72%,22.27,Financials
WILLIAMS COS INC,WMB,,56%,70%,45%,82%,24%,75%,19.82,Energy
CONS EDISON INC,ED,,47%,74%,31%,63%,28%,12%,42.25,Utilities
NORTHERN TRUST,NTRS,,36%,3%,4%,3%,28%,62%,47.01,Financials
CARDINAL HEALTH,CAH,,12%,82%,61%,53%,38%,72%,31.86,Health Care
PPL CORPORATION,PPL,,56%,10%,18%,30%,57%,25%,30.29,Utilities
PROGRESSIVE CORP,PGR,,13%,37%,52%,51%,69%,27%,16.63,Financials
NOBLE ENERGY INC,NBL,,76%,25%,82%,83%,96%,12%,64.05,Energy
OMNICOM GROUP,OMC,,27%,51%,21%,19%,72%,40%,35.73,Consumer Discretionary
SPRINT NEXTEL CO,S,,20%,4%,36%,81%,13%,3%,3.72,Telecommunication Services
COACH INC,COH,,65%,85%,86%,64%,98%,87%,34.77,Consumer Discretionary
SUNTRUST BANKS,STI,,84%,53%,,,8%,27%,21.95,Financials
INTL PAPER CO,IP,,19%,98%,81%,90%,14%,20%,24.64,Materials
EDISON INTL,EIX,,25%,50%,19%,38%,58%,21%,33.61,Utilities
MURPHY OIL CORP,MUR,,29%,15%,46%,7%,74%,90%,56.4,Energy
PROGRESS ENERGY,PGN,,43%,30%,30%,47%,11%,12%,38.73,Utilities
EATON CORP,ETN,,56%,92%,88%,92%,60%,48%,63.32,Industrials
CENTURYTEL INC,CTL,,25%,79%,68%,84%,10%,6%,35.8,Telecommunication Services
AON CORP,AOC,,15%,11%,8%,11%,32%,45%,38.4,Financials
ECOLAB INC,ECL,,77%,45%,30%,28%,93%,72%,44.13,Materials
GAP INC/THE,GPS,,20%,65%,85%,66%,80%,57%,21.81,Consumer Discretionary
INTUITIVE SURGIC,ISRG,,100%,100%,83%,54%,78%,98%,274.34,Health Care
PUBLIC STORAGE,PSA,,87%,43%,3%,5%,35%,9%,76.71,Financials
NETAPP INC,NTAP,,94%,99%,89%,57%,25%,92%,30.33,Information Technology
PAYCHEX INC,PAYX,,94%,67%,14%,9%,85%,80%,30.96,Information Technology
AGILENT TECH INC,A,,93%,97%,80%,79%,92%,90%,28.43,Information Technology
PPG INDS INC,PPG,,44%,81%,79%,83%,41%,8%,59.01,Materials
VORNADO RLTY TST,VNO,,90%,64%,98%,97%,16%,25%,62,Financials
CONAGRA FOODS,CAG,,37%,68%,36%,63%,67%,32%,22.15,Consumer Staples
BED BATH &BEYOND,BBBY,,55%,69%,71%,55%,52%,68%,36.66,Consumer Discretionary
MCGRAW-HILL COS,MHP,,20%,24%,15%,17%,77%,32%,30.3,Consumer Discretionary
AMERIPRISE FINAN,AMP,,7%,62%,92%,72%,6%,64%,37.08,Financials
HARTFORD FINL SV,HIG,,26%,71%,97%,96%,6%,11%,23.8,Financials
INTUIT INC,INTU,,53%,32%,24%,12%,79%,88%,29.07,Information Technology
ITT CORP,ITT,,19%,51%,55%,38%,59%,40%,50.74,Industrials
CH ROBINSON,CHRW,,85%,27%,39%,17%,92%,89%,55.2,Consumer Discretionary
SAFEWAY INC,SWY,,5%,26%,16%,18%,75%,3%,22.33,Consumer Staples
INVESCO LTD,IVZ,,66%,73%,74%,66%,28%,64%,21.85,Financials
CUMMINS INC,CMI,,66%,71%,84%,79%,59%,35%,44.5,Industrials
FOREST LABS INC,FRX,,9%,87%,19%,5%,74%,17%,30.37,Health Care
XCEL ENERGY INC,XEL,,37%,59%,11%,32%,17%,19%,20.11,Utilities
CAMERON INTERNAT,CAM,,57%,45%,65%,53%,53%,9%,37.17,Energy
L-3 COMM HLDGS,LLL,,6%,34%,36%,59%,72%,58%,78.17,Industrials
QUEST DIAGNOSTIC,DGX,,42%,54%,46%,53%,87%,74%,57.91,Health Care
BOSTON PROPERTIE,BXP,,89%,61%,49%,70%,31%,18%,63.45,Financials
VALERO ENERGY,VLO,,44%,1%,5%,27%,42%,1%,15.95,Energy
CBS CORP-B,CBS,,47%,95%,78%,88%,16%,5%,12.65,Consumer Discretionary
REPUBLIC SVCS,RSG,,58%,82%,29%,60%,14%,79%,27.84,Industrials
CIGNA CORP,CI,,10%,98%,33%,40%,68%,44%,31.82,Health Care
HCP INC,HCP,,76%,77%,94%,94%,19%,11%,29.56,Financials
LIFE TECHNOLOGIE,LIFE,,74%,88%,73%,80%,2%,47%,49.68,Health Care
PRICELINE.COM,PCLN,,97%,99%,86%,63%,54%,97%,207.09,Consumer Discretionary
CA INC,CA,,24%,48%,28%,14%,24%,43%,21.67,Information Technology
PARKER HANNIFIN,PH,,55%,57%,88%,90%,66%,47%,53.04,Industrials
EQUITY RESIDENTI,EQR,,86%,53%,99%,98%,30%,7%,30.78,Financials
REYNOLDS AMERICA,RAI,,19%,93%,66%,59%,65%,21%,50.6,Consumer Staples
ANALOG DEVICES,ADI,,84%,82%,96%,73%,57%,52%,29,Information Technology
SARA LEE CORP,SLE,,18%,83%,35%,63%,70%,23%,12,Consumer Staples
AES CORP,AES,,36%,46%,44%,62%,80%,61%,12.67,Utilities
WESTERN DIGITAL,WDC,,6%,94%,98%,77%,89%,32%,37.25,Information Technology
ROCKWELL COLLINS,COL,,54%,87%,54%,35%,95%,93%,53.17,Industrials
CONSOL ENERGY,CNX,,60%,32%,12%,7%,94%,55%,45,Energy
CLOROX CO,CLX,,43%,51%,40%,57%,32%,45%,59.69,Consumer Staples
PRINCIPAL FINL,PFG,,3%,31%,72%,78%,12%,48%,24.9,Financials
COMPUTER SCIENCE,CSC,,4%,86%,40%,36%,34%,37%,54.2,Information Technology
DISCOVER FINANCI,DFS,,74%,78%,100%,55%,25%,29%,15.1,Financials
WEYERHAEUSER CO,WY,,97%,41%,13%,,32%,9%,37.64,Materials
LABORATORY CP,LH,,38%,70%,38%,38%,88%,75%,72.95,Health Care
CR BARD INC,BCR,,61%,25%,26%,12%,91%,82%,80.77,Health Care
FLUOR CORP,FLR,,14%,6%,10%,7%,82%,99%,42.5,Industrials
FIFTH THIRD BANC,FITB,,85%,74%,0%,0%,4%,8%,9.65,Financials
INTERCONTINENTAL,ICE,,87%,20%,66%,49%,56%,88%,104.5,Financials
DOVER CORP,DOV,,49%,72%,71%,69%,53%,85%,40.29,Industrials
HOSPIRA INC,HSP,,54%,94%,74%,69%,38%,76%,46.7,Health Care
GOODRICH CORP,GR,,25%,76%,16%,13%,52%,57%,59.52,Industrials
RANGE RESOURCES,RRC,,99%,15%,51%,79%,30%,13%,46.81,Energy
AMERISOURCEBERGE,ABC,,17%,95%,74%,58%,71%,73%,24.55,Health Care
MACY'S INC,M,,7%,58%,90%,93%,27%,52%,16.93,Consumer Discretionary
AMPHENOL CORP-A,APH,,79%,67%,71%,60%,97%,95%,41.15,Information Technology
FISERV INC,FISV,,37%,30%,15%,43%,88%,83%,46.31,Information Technology
LINCOLN NATL CRP,LNC,,1%,42%,56%,57%,10%,46%,22.73,Financials
FIDELITY NATIONA,FIS,,41%,29%,75%,67%,67%,83%,22.45,Information Technology
BMC SOFTWARE INC,BMC,,53%,29%,51%,40%,78%,85%,37.6,Information Technology
NVIDIA CORP,NVDA,,87%,33%,94%,97%,34%,85%,12.57,Information Technology
J.C. PENNEY CO,JCP,,30%,24%,74%,84%,35%,80%,29.59,Consumer Discretionary
MATTEL INC,MAT,,47%,25%,56%,54%,62%,35%,19.41,Consumer Discretionary
HUMANA INC,HUM,,1%,69%,39%,8%,39%,56%,40.8,Health Care
MOLSON COORS-B,TAP,,55%,18%,80%,85%,21%,72%,44.31,Consumer Staples
SALESFORCE.COM,CRM,,100%,88%,25%,3%,15%,100%,61.43,Information Technology
APOLLO GROUP-A,APOL,,23%,3%,53%,20%,98%,93%,54.99,Consumer Discretionary
CITRIX SYSTEMS,CTXS,,95%,38%,38%,15%,15%,64%,37.64,Information Technology
DIAMOND OFFSHORE,DO,,26%,58%,43%,30%,79%,99%,98.3,Energy
JM SMUCKER CO,SJM,,34%,97%,64%,73%,4%,30%,57.66,Consumer Staples
QUESTAR CORP,STR,,50%,38%,69%,69%,60%,17%,39.01,Utilities
EXPEDITORS INTL,EXPD,,84%,11%,47%,4%,76%,95%,31.9,Consumer Discretionary
H&R BLOCK INC,HRB,,27%,52%,12%,10%,18%,61%,20.07,Consumer Discretionary
REGIONS FINANCIA,RF,,83%,38%,,,1%,4%,5.52,Financials
XEROX CORP,XRX,,9%,26%,68%,81%,40%,3%,7.58,Information Technology
DR PEPPER SNAPPL,DPS,,29%,41%,24%,39%,25%,40%,26.37,Consumer Staples
CAMPBELL SOUP CO,CPB,,54%,85%,66%,76%,99%,32%,34.81,Consumer Staples
EL PASO CORP,EP,,69%,14%,35%,82%,20%,32%,9.48,Energy
HARLEY-DAVIDSON,HOG,,89%,100%,27%,25%,70%,57%,27.96,Consumer Discretionary
FMC TECHNOLOGIES,FTI,,77%,66%,77%,67%,96%,72%,53.08,Energy
SMITH INTL INC,SII,,38%,7%,9%,10%,95%,79%,26.1,Energy
SOUTHWEST AIR,LUV,,70%,56%,91%,86%,30%,82%,8.81,Consumer Discretionary
DTE ENERGY CO,DTE,,11%,90%,59%,91%,22%,9%,39.7,Utilities
NYSE EURONEXT,NYX,,7%,8%,56%,64%,47%,67%,25.02,Financials
VENTAS INC,VTR,,85%,86%,58%,76%,56%,7%,40.88,Financials
SIGMA-ALDRICH,SIAL,,79%,40%,65%,44%,90%,45%,52.76,Materials
MARRIOTT INTL-A,MAR,,88%,33%,26%,30%,53%,18%,24.98,Consumer Discretionary
VF CORP,VFC,,34%,50%,40%,42%,44%,58%,71.23,Consumer Discretionary
ENSCO INTL,ESV,,11%,34%,22%,8%,58%,17%,43.8,Energy
UNUM GROUP,UNM,,1%,25%,17%,12%,37%,22%,18.84,Financials
CONSTELLAT ENER,CEG,,5%,58%,84%,85%,7%,72%,31.82,Utilities
COCA-COLA ENTER,CCE,,16%,55%,48%,74%,58%,32%,19.79,Consumer Staples
SUN MICROSYSTEMS,JAVA,,73%,30%,8%,1%,7%,34%,8.5,Information Technology
MCAFEE INC,MFE,,70%,18%,42%,16%,20%,87%,39.76,Information Technology
XL CAPITAL LTD-A,XL,,0%,97%,93%,93%,6%,1%,17.57,Financials
XILINX INC,XLNX,,76%,32%,95%,71%,38%,80%,22.33,Information Technology
MICRON TECH,MU,,50%,60%,99%,92%,2%,56%,7.16,Information Technology
ROCKWELL AUTOMAT,ROK,,75%,81%,89%,77%,94%,48%,42.69,Industrials
PROLOGIS,PLD,,46%,57%,7%,59%,4%,41%,12.65,Financials
VULCAN MATERIALS,VMC,,86%,14%,2%,20%,19%,100%,48.31,Materials
DAVITA INC,DVA,,41%,85%,62%,68%,95%,73%,58.98,Health Care
ALTERA CORP,ALTR,,96%,63%,91%,65%,93%,92%,20.54,Information Technology
HUDSON CITY BNCP,HCBK,,8%,12%,48%,43%,25%,98%,12.9,Financials
WW GRAINGER INC,GWW,,49%,61%,70%,46%,81%,61%,96.34,Industrials
US STEEL CORP,X,,75%,44%,52%,99%,47%,28%,41.7,Materials
HOST HOTELS & RE,HST,,89%,24%,,94%,9%,2%,9.81,Financials
LINEAR TECH CORP,LLTC,,87%,40%,78%,61%,41%,80%,26.39,Information Technology
AMEREN CORP,AEE,,24%,14%,12%,24%,11%,9%,25.49,Utilities
STARWOOD HOTELS,HOT,,88%,62%,57%,72%,32%,32%,31.09,Consumer Discretionary
SHERWIN-WILLIAMS,SHW,,40%,47%,28%,39%,97%,46%,60.53,Consumer Discretionary
NABORS INDS LTD,NBR,,32%,36%,8%,15%,48%,45%,20.09,Energy
HERSHEY CO/THE,HSY,,54%,9%,44%,60%,86%,26%,35.4,Consumer Staples
